# Header: N IMF hubble Source
# 1 0.24 1.0 Robotham & Driver 2011 UV
0.0565 -1.5058 0.0585 0.0676 1
# 1 0.00 0.7 Salim 2007 UV
0.1 -1.7380 0.0338 0.0094 1
# 1 0.24 0.7 Ly 2011 Ha
0.8 -1.0 0.22 0.22 1
# 4 0.0 0.7 Zheng 2006 UV/IR
0.3 -1.7060 0.1261 0.1821 1
0.5 -1.4575 0.0977 0.1255 1
0.7 -1.2438 0.0710 0.0801 1
0.9 -1.2103 0.0776 0.0944 1
# 7 0.24 0.7 Rujopakarn 2010 FIR
0.025 -1.83 0.08 0.08 1
0.125 -1.60 0.07 0.07 1
0.275 -1.43 0.08 0.08 1
0.425 -1.26 0.08 0.08 1
0.575 -1.07 0.07 0.07 1
0.850 -0.92 0.11 0.11 1
1.150 -0.61 0.14 0.14 1
# 4 0.24 0.7 Smolcic 2009 1.4GHz
0.225 -1.6383 0.0362 0.0395 1
0.475 -1.4949 0.0389 0.0280 1
0.750 -1.3188 0.0263 0.0378 1
1.100 -1.0555 0.0240 0.0254 1
# 2 0.24 0.71 Shim 2009 Ha
1.05 -1.0555 0.2138 0.43933 1
1.65 -0.5768 0.2192 0.46420 1
# 1 0.24 0.7 Tadaki 2011 Ha
2.2 -0.5086 0.19 0.19 1
# 4 0.24 0.7 Sobral 2013 Ha
0.40 -1.5229 0.1249 0.1761 1
0.84 -1.0000 0.0414 0.0969 1
1.47 -0.8861 0.0621 0.0726 1
2.23 -0.6778 0.0395 0.0669 1
# 1 0.24 0.7 Hayes 2010 Ha
2.2 -0.6676 0.1519 0.2355 1
# 9 0.0 0.7 Karim 2011 1.4Ghz
0.300 -1.7447 0.0458 0.1761 1
0.500 -1.6383 0.0362 0.1313 1
0.700 -1.4089 0.0322 0.1139 1
0.900 -1.2596 0.0155 0.0683 1
1.100 -1.2147 0.0209 0.0371 1
1.350 -1.2007 0.0267 0.0512 1
1.750 -1.0223 0.0597 0.0692 1
2.250 -1.0088 0.0462 0.0418 1
2.750 -0.9172 0.0571 0.0658 1
# 1 0.24 0.7 Ly 2011 UV
2.05 -0.8447 0.0669 0.0792 1
# 4 0.24 0.7 Kajisawa 2010 UV/IR
0.75 -0.9937 0.13 0.13  1
1.25 -0.9369 0.17 0.17 1
2.00 -0.7847 0.19 0.19 1
3.00 -0.7978 0.27 0.27 1
# 14 0.24 0.71 Dunne 2009 1.4GHz
0.100 -2.0565 0.2351 0.5663 1
0.300 -1.5265 0.1344 0.2015 1
0.500 -1.4114 0.1128 0.1536 1
0.700 -1.1500 0.0983 0.1272 1
0.900 -1.1046 0.0912 0.1176 1
1.100 -0.9463 0.0864 0.1128 1
1.300 -0.8769 0.0792 0.1055 1
1.500 -0.6874 0.0744 0.0744 1
1.700 -0.7499 0.0696 0.0816 1
1.900 -0.7956 0.0672 0.0767 1
2.250 -0.9685 0.0504 0.0599 1
2.760 -0.9758 0.0504 0.0648 1
3.250 -1.2303 0.0480 0.0600 1
4.000 -1.7296 0.0576 0.0744 1
# 10 0.24 0.7 Cucciati 2012 UV
0.125 -1.6500 0.1800 0.1800 1
0.300 -1.4400 0.1200 0.1200 1
0.500 -1.3400 0.1000 0.1000 1
0.700 -1.1500 0.0900 0.0900 1
0.900 -0.9000 0.0900 0.0800 1
1.100 -0.8500 0.0900 0.0900 1
1.450 -0.8500 0.1500 0.0800 1
2.100 -0.6200 0.4900 0.0900 1
3.000 -0.8600 0.2600 0.1500 1
4.000 -1.3700 0.2200 0.3200 1
# 8 0.24 0.7 Le Borgne 2009 IR/mm
0.05 -1.7520 0.25 0.25 1
0.50 -1.2048 0.15 0.15 1
1.00 -1.0159 0.15 0.15 1
1.50 -0.7951 0.15 0.15 1
2.00 -0.7390 0.15 0.15 1
3.00 -0.9881 0.25 0.25 1
4.00 -1.2125 0.30 0.30 1
5.00 -1.3736 0.30 0.30 1
# 3 0.24 0.7 Van der Burg 2010 UV
3.10 -0.8894 0.1750 0.1421 1
3.80 -1.1079 0.1493 0.1212 1
4.70 -1.5686 0.1707 0.1303 1
# 15 0.24 0.7 Oesch 2013 UV
2.50 -0.9300 0.03 0.03 1
3.80 -1.2120 0.10 0.10 1
5.00 -1.5381 0.12 0.12 1
5.90 -1.7173 0.13 0.13 1
6.80 -1.8883 0.15 0.15 1
7.40 -2.1300 0.15 0.15 1
8.00 -2.1980 0.15 0.15 1
9.00 -2.8516 0.25 0.25 1
9.00 -2.8101 0.25 0.25 1
9.20 -2.9821 0.35 0.50 1
9.60 -2.9163 0.70 0.90 1
10.7 -2.7192 0.70 0.90 1
9.80 -3.2596 0.30 0.30 1
10.0 -3.2595 0.30 0.30 1
10.0 -3.7502 0.70 0.90 1
# 5 0.24 0.7 McLure 2013 UV
6.00 -1.8676 0.05 0.05 1
7.00 -2.0861 0.05 0.05 1
8.00 -2.2947 0.05 0.05 1
9.00 -2.6473 0.18 0.18  1
10.0 -2.9156 0.12 0.12 1
# 2 0.03 0.7 Reddy & Steidel UV
2.30 -0.8182 0.0969 0.1249 1
3.05 -0.9586 0.1170 0.1606 1
# 9 0.24 0.7 Burgarella 2013 UV/IR
0.00 -1.7305 0.1853 0.3300 1
0.45 -1.2668 0.0413 0.0457 1
0.90 -0.8827 0.0597 0.0692 1
1.35 -0.7585 0.0771 0.0939 1
1.80 -0.7652 0.0816 0.1006 1
2.25 -0.7001 0.2008 0.3851 1
2.70 -0.6192 0.2090 0.4179 1
3.15 -0.7199 0.1873 0.3366 1
3.60 -0.8914 0.2440 0.6089 1
# 4 0.0 0.7 Duncan 2014 UV
4.0 -1.43 0.08 0.08 1
5.0 -1.54 0.13 0.13 1
6.0 -1.70 0.14 0.14 1
7.0 -1.90 0.26 0.26 1
# 4 0.0 0.7 Bourne 2016 UV/IR
1.08 -1.2629 0.0332 0.0332 1
2.00 -1.1101 0.0260 0.0260 1
3.19 -1.1492 0.0568 0.0568 1
4.75 -1.5743 0.0841 0.0841 1
# 4 0.0 0.7 Gunawardhana 2015 Ha
0.051 -2.05 0.1 0.1 1
0.125 -2.00 0.1 0.1 1
0.205 -1.75 0.1 0.1 1
0.290 -1.72 0.1 0.1 1
END
